ID,Lat,Long,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
2,103.773209,1.299893,30.52687259,30.87658965,30.66861372,30.36075623,30.51738161,30.6817601,30.83178968,30.78563333,30.71670833,30.66880159,29.85383187,30.25459226,30.25606163,30.77953268,31.20257986
3,103.770795,1.298818,30.73141667,30.94141035,30.87020399,30.45304101,30.58451323,30.78306503,30.9144914,30.8635375,30.72725073,30.6830377,30.0842924,30.59524107,30.91177865,31.30104902,31.85569444
4,103.772678,1.298462,29.82810326,30.31122664,30.24632986,30.06630416,30.19416733,30.39879735,30.49141534,30.18605625,30.07903801,29.97414385,29.16210526,29.29386409,29.3808099,30.16918382,30.85303819
6,103.772312,1.296408,30.32375121,30.8025,30.92638715,30.70967907,30.76478439,31.17320707,31.25876191,31.02839583,30.88781713,30.70010119,29.76413889,29.92157242,29.90339757,30.7001969,31.30171465
7,103.769825,1.295043,30.89340278,31.13303472,30.87130642,30.56325235,30.79947024,31.03350379,31.15092857,31.12657917,30.90120833,30.81365278,30.12302339,30.60419246,30.66529167,31.13936111,31.33915972
8,103.772115,1.295015,30.26305254,30.69489899,30.53702604,30.10015123,30.29524537,30.42075694,30.48057936,30.43048889,30.42430409,30.28694048,29.67604532,30.12568552,30.30547917,30.84152344,31.35730092
11,103.772713,1.297254,30.70088647,30.99937184,30.51611632,29.93975131,30.19916137,30.17674748,30.35503175,30.37188333,30.41286111,30.46157837,30.09288596,30.81622817,31.04749479,31.24666667,31.55858796
12,103.778576,1.292662,30.03693497,30.32283397,30.12282552,29.89158283,30.03402183,30.26807955,30.6571045,30.55279236,30.25623684,30.15179663,29.36061842,29.76626885,29.83135503,30.28140359,30.73951273
13,103.780762,1.291102,30.61698671,31.00120518,31.43709115,31.27227183,31.27820503,31.68292677,31.60921032,31.39214445,31.38106871,31.14719147,29.95568494,29.9982748,30.01916059,30.88513399,31.75429167
16,103.781166,1.294635,29.77007955,30.29511773,30.27348177,29.81304468,29.84886319,30.14218519,30.23455159,30.12477339,30.08131019,30.31635516,29.22938117,29.52181548,29.61819184,30.21344771,30.63459606
17,103.780151,1.296682,30.4100314,30.76597917,30.66857031,30.33261677,30.39258311,30.70813447,30.83396098,30.70973333,30.48913012,30.44891171,29.72570833,30.10362698,30.31984288,30.8872165,31.06446644
18,103.777999,1.297994,30.57176449,30.89974811,30.99742274,30.62708678,30.75148876,30.96471212,30.93767328,30.80888403,30.77189547,30.72129365,29.97929971,30.34124206,30.42319531,30.98981863,31.50888773
19,103.775329,1.300497,30.69862077,31.05419003,31.16712413,30.71841892,30.89793254,31.14949369,31.14970106,31.0116632,30.91677855,30.91785577,30.08214547,30.44160119,30.48969358,30.90413807,31.14414931
20,103.771746,1.302332,30.26720833,30.61411048,30.77961111,30.63064086,30.66200595,31.14733207,31.22472685,30.86146806,30.59667763,30.45236012,29.55556944,29.65390079,29.75582639,30.5178652,31.36470255