,Number/file name in AWS,Reflected in Google Map to NUS President,Type,Longname,Shortname,Lon,Lat,X,Y,STREET_CarPark_percent,STREET_CarPark_distance,STREET_CourtTrack_percent,STREET_CourtTrack_distance,STREET_Path_percent,STREET_Path_distance,STREET_Road_percent,STREET_Road_distance,STREET_Walkway_percent,STREET_Walkway_distance,BLDandVEG_Sun_h,BLDandVEG_SkyExp,VEG_Tree_Height,VEG_TypeA_percent,VEG_TypeB_percent,VEG_TypeC_percent,VEG_TypeD_percent,VEG_TypeE_percent,VEG_Turf_percent,VEG_Shrub_percent,BLD_percent,BLD_Height,Terrain_height,VEG_TypeA_distance,VEG_TypeB_distance,VEG_TypeC_distance,VEG_TypeD_distance,VEG_TypeE_distance,VEG_Turf_distance,VEG_Shrub_distance
21,45,38,Weather station,Column - UTown ERC seating,WS45,103.7730639,1.3054725,21294.20791843821,31978.114762144844,-0.23576285484617848,1.9074081479064469,-0.1393616913663457,1.7252905218208465,-0.1952673931435425,-0.8139590508196457,-0.37719219630480283,0.43891809848891394,-0.21348281562425503,-0.13297293701516147,-0.7941262469189713,0.10051915740948511,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,0.83935943079551,-1.0323599687907667,-0.49579193275097183,0.9722794282642047,-0.2694756602838998,0.289278651819441,0.30227266936644953,-0.31614049718445086,1.791316628932692
22,47,20,Weather station,Open ground - next to PGP Road,WS47,103.7790622,1.2929163,21961.733980904788,30589.699044464327,-0.23576285484617848,0.9834589931448965,-0.1393616913663457,-1.0762682759093614,-0.1952673931435425,0.20194546511019848,-0.1661695832699218,-0.7675010535156657,1.0060624803477862,-0.9939822785466716,-0.7941262469189713,-0.624812791741076,1.3454924284425929,3.2827864623766936,2.109525916688144,2.3645263100136367,1.5029325703503722,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,0.1475058129111772,-0.8919855524589815,-0.5916570953120419,-0.8565609549194424,-0.4188504417051317,-0.3413868546193676,-0.11782332216884087,-0.7005151363238327
23,48,13,Weather station,Lamp post - CP14 in front of AS5,WS48,103.7714074,1.2938584,21109.82313756549,30693.891155536105,1.4574485778467363,-0.9574350474269604,-0.1393616913663457,-0.3946755173642187,-0.1952673931435425,-0.509056255746943,-0.37719219630480283,-0.1329488469476606,-0.21348281562425503,-0.6164836377467365,-0.04703875035200317,0.23858945711136403,0.03675006489900803,-0.018991985969042575,0.1723178297511203,-0.2134221341675666,0.7521578455411373,0.2142814817002175,2.0740922600179,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.047592962479327185,-0.8418561218630604,-0.5744907837170196,-0.6817323685182204,-0.4150751760707788,-0.46467780959488136,-0.5701283782333966,-0.8116183288263755
24,50,28,Weather station,Lamp post - CP10 behind S17,WS50,103.780752,1.298142,22149.806157592164,31167.526291624785,3.5747580525416334,-0.9637876907832241,-0.1393616913663457,-0.1340548120751756,-0.1952673931435425,0.36737967935216936,-0.37719219630480283,1.1553622133857373,-0.21348281562425503,-0.10250969656382895,0.07747583240915816,0.32310337603519496,0.0855940835004572,0.6263758781677354,-0.09595456923031676,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.8326592576344429,-0.868843434151635,-0.5510490634701699,-0.5542684860353189,-0.0747990725695015,-0.4254145527101258,0.4645402583798913,1.2831084040813105
25,56,34,Weather station,Open ground - Kent Ridge Road next to road  to No 9 & 10,WS56,103.7780026,1.2947748,21843.81410470898,30795.205029526274,-0.23576285484617848,0.4464785548965066,-0.1393616913663457,-0.03636042119316981,-0.1952673931435425,-0.4542575636549976,0.2743593753284429,-0.8162223842728045,-0.21348281562425503,0.7151850656269783,-0.2960679158743259,-0.44725212727740915,1.0336810586857974,-0.20394511287992306,-0.2238748580095752,-0.2134221341675666,0.11776959553857398,-0.26599236280384064,-0.332143226745457,-0.102024693288198,-0.684629414740228,-0.5317790761057838,2.537248053361875,-0.8336493402080908,-0.5707595772948081,-0.6739781140392728,-0.39197800073856104,-0.4510399417396783,-0.5438633459711888,-0.5775257128635372
26,57,39,Weather station,Lamp post - opposite Stephen Riady Centre ,WS57,103.772124,1.3042456,21189.602345592306,31842.452925213558,-0.23576285484617848,0.5636987066670197,-0.1393616913663457,0.7638791276078386,-0.1952673931435425,0.2696127769641632,1.8108196417685434,-0.83154787221946,0.9868786217594622,-0.9686907469778611,-0.10929604173258389,0.6518201585071488,-0.10404788336003123,-0.3160805023445425,1.3209189074406025,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,0.12236792075428822,-0.102024693288198,-0.6200038285402123,-0.5317790761057838,-1.3188765938297815,0.046995482893020364,-0.5916570953120419,-0.7976280707836626,-0.2870230195554949,-0.24141477502851583,-0.5618800089950937,1.160311782310902
27,60,2,Weather station,Roof - E1A upper roof,WS60,103.7705849,1.2994913,21018.301426509606,31316.750821084304,-0.23576285484617848,-0.7486407800533799,-0.1393616913663457,-0.029679304916019684,-0.1952673931435425,-0.3714626442197182,-0.37719219630480283,-0.6503894485124326,-0.21348281562425503,-0.4443673099579649,-0.4828397900160678,-0.5520911470980115,0.050875670921090445,-0.3160805023445425,-0.4715708979969612,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.027353398422098385,-0.102024693288198,-0.015292986240066319,0.18325163006850792,0.49651699429647095,-0.6696468607613157,-0.5417506653654656,-0.6855033671498657,-0.1298058337542729,-0.12248623021927399,-0.5562023253553117,-0.9200762557777539
28,61,7,Weather station,Column - shelter next to E8,WS61,103.7727216,1.2992411,21256.096492669923,31289.079173346792,3.3478656000705724,-0.9637876907832241,-0.1393616913663457,-0.7101761416686471,-0.1952673931435425,-0.3102449487906583,-0.37719219630480283,0.8323828094962783,-0.21348281562425503,-0.019437609302978963,-0.17155333311316454,-0.4518117709204952,-0.2473252072209479,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,0.189076801934211,0.7640289011954287,-0.27867132703960457,-0.102024693288198,-0.4168948433401633,-0.5317790761057838,-0.08781194262571514,-0.754621493956863,-0.3698499268161205,0.048770216962794474,-0.40123967862794635,-0.44385107891551445,-0.5472027690903294,-0.5667631530513035
29,62,3,Weather station,Lamp post - in between E2-E1A,WS62,103.771021,1.299327,21066.835035387994,31298.582161710525,-0.23576285484617848,-0.43854125514025444,-0.1393616913663457,-0.20569406093166903,-0.1952673931435425,0.39443463722293737,-0.37719219630480283,-0.21424173763222756,-0.21348281562425503,0.4392868375226396,-0.23381062449374523,-0.33563327624473743,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,1.1169452552831425,1.3298405349281235,1.6234272352603294,-0.5317790761057838,0.713042158317668,0.2981622229417755,0.46407246167840804,0.07624168806478801,0.3719359351138688,0.18292386949483946,-0.5701283782333966,-0.9863218927996685
30,65,23,Weather station,Column - near PGP water feature / pool,WS65,103.7809957,1.2901026,22176.909473331623,30278.569969838994,-0.23576285484617848,0.8649838891294077,7.822444642474586,-1.5286791507897748,-0.1952673931435425,-0.6309976441831238,-0.37719219630480283,0.5762682387747053,-0.21348281562425503,0.8998172318159433,1.5716508255430945,1.4261883722143918,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.9185070513508722,1.440667125461529,-0.31240688809367617,-0.2724633312617829,-0.12837789888804269,-0.1744169172869661,-0.3410012262367809,-0.8400044809594389
31,67,16,Weather station,Roof - BIZ1,WS67,103.7743067,1.2925401,21432.48679000491,30548.11257404051,-0.16684692302085638,-0.9413846428478327,-0.1393616913663457,-1.0526288105725077,-0.1952673931435425,-0.39424951865506114,-0.37719219630480283,0.02220813559735884,-0.21348281562425503,-0.6178368341097322,-0.7941262469189713,-0.8491272409037682,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,1.9207753273461818,-0.9818924437407386,-0.24848074377161375,-0.03342043668618952,0.15089313426288697,-0.18967088644349517,-0.17330818611781523,0.034757703354773135,-0.9709973334906691
32,68,30,Weather station,Lamp post - next to S8,WS68,103.7798717,1.2957313,22051.830920579858,30900.965450859876,-0.23576285484617848,-0.39490137424484917,-0.1393616913663457,0.019358719977666125,-0.1952673931435425,1.2503695591993502,0.5408331859491321,-0.794641525451653,-0.21348281562425503,1.4993939669178311,-0.5450970813966486,-0.4829749340080153,-0.6974100476999251,-0.3160805023445425,-0.3306472002936368,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,0.9494746934601668,2.4840829546340193,0.26053315277795086,0.3980970711496098,-0.541412411609137,0.48571585651408605,-0.010959816126023437,0.3188677581511375,0.9972979506912903,-0.21542054351077794
33,69,32,Weather station,Lamp post - walkway between MD7-MD11,WS69,103.7816137,1.2958681,22245.700610693355,30916.088071738654,-0.23576285484617848,-0.40000047604162436,-0.1393616913663457,0.4814981132344844,-0.1952673931435425,1.0145634972661093,-0.37719219630480283,-0.662073737490149,-0.21348281562425503,-0.8526900892754213,-0.7941262469189713,-0.8491272409037682,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,1.92336545813634,-0.28905437825136787,0.13081137245396035,0.7631794738861626,-0.48355367271490063,-0.03316691914714971,-0.18685841192414282,1.1675424753022328,0.6083164758023571
34,72,12,Weather station,Roof - AS3,WS72,103.771604,1.294852,21131.705693417585,30803.75784992503,-0.23576285484617848,-0.37102608295210204,-0.1393616913663457,0.12085501490449835,-0.1952673931435425,-0.7384529118536725,-0.37719219630480283,0.7029857095225189,-0.21348281562425503,0.1882119185641596,-0.7941262469189713,-0.8491272409037682,-0.6974100476999251,-0.3160805023445425,-0.4817444758496041,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.1824219075690702,-0.102024693288198,1.517256629360304,1.4748533353001654,0.12008870496618848,-0.5022274046457411,-0.5386180249329395,0.21600032380618933,-0.1175093206559666,-0.30030264378931887,-0.5508792815338077,-0.3717042263656748
35,73,6,Weather station,Roof - SDE3 ,WS73,103.7704,1.298318,20997.720468220257,31187.013786965726,-0.23576285484617848,-0.7799856264480513,-0.1393616913663457,0.6240698954760233,-0.1952673931435425,-0.7175180559172463,-0.37719219630480283,-0.5235341768456362,-0.21348281562425503,0.3396614321533865,-0.7941262469189713,-0.8491272409037682,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,1.5046205025681119,0.31865216453575157,-0.32919078130131957,-0.41406995182421147,-0.6563873256707466,-0.008089384546688342,-0.11181761918165785,-0.31869168453560326,-0.5508774318082883
36,74,37,Weather station,Roof - UTown Education Resource Centre,WS74,103.773191,1.305505,21308.353071621343,31981.708108198574,-0.23576285484617848,2.0094646200470363,-0.1393616913663457,1.763189781092804,-0.1952673931435425,-0.8035364850654979,-0.37719219630480283,0.7801268224086343,-0.21348281562425503,0.09334066094996095,-0.4828397900160679,-0.3037238500749361,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,0.83935943079551,-0.9734515115800104,-0.35964453471113667,0.6504386202746829,-0.5676004226064026,-0.04789250509804538,-0.0018556179960950298,-0.33362092377970043,1.81222308172092
37,75,5,Weather station,Railing - next to EW1,WS75,103.7707442,1.2982314,21036.026652162036,31177.437048831704,-0.23576285484617848,-0.5167982393498246,-0.1393616913663457,0.5222878452169082,-0.1952673931435425,-0.6651960419434131,0.02636929723635646,-0.805936257912653,-0.21348281562425503,0.8169485728069296,0.13973312378973884,0.01731952525783259,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,0.79714295456013,0.2542321249933256,0.5757841635688059,-0.2718363627805774,0.018562766313170883,-0.20711436834286578,0.1285780950361889,0.1146519835555834,-0.1958083257400826,-0.6928558522512727
38,76,1,Weather station,Lamp post - CP2A in front E3A,WS76,103.7712316,1.3006657,21090.276586402833,31446.6082202518,1.6207263240174996,-0.962663691913009,-0.1393616913663457,-0.7447084272070638,-0.1952673931435425,-0.6496311529411978,0.8211697959662733,-0.8160596742617013,1.1211656318777319,-1.0138586801477159,-0.5450970813966486,-0.4176431879018253,1.1567593467292843,3.700493005856104,-0.3469630508014528,-0.2134221341675666,1.605385453102724,-0.26599236280384064,0.7479891473127612,-0.102024693288198,-0.684629414740228,-0.5317790761057838,-0.15242243454335505,-0.8919855524589815,-0.5284169154367172,-0.6946215484314902,-0.4099511389991414,-0.37969134493046747,-0.5701283782333966,-0.7573373498224415
39,77,35,Weather station,Roof - UTown Residential College 4,WS77,103.7731643,1.3083404,21305.389115426107,32295.23229256933,-0.23576285484617848,3.9558467491089706,-0.1393616913663457,3.1322861303857663,-0.1952673931435425,-0.7952923571930801,-0.37719219630480283,-0.25659519135295655,-0.21348281562425503,-0.4755886594578939,-0.7941262469189713,-0.8491272409037682,0.015717331775520337,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,1.0939406624029833,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6234272352603294,2.936025324520447,-0.38042988988121135,0.6487190231096226,-0.3453301027587241,-0.5991911261598097,-0.4188504417051317,-0.25541167316289703,-0.33877109027188573,3.47330973552629
40,E1A,X,Meteorological tower,E1A lower roof,METE1A,103.7788075,1.2946536,21933.392191704683,30781.801411998556,-0.23576285484617848,0.5953432228932893,-0.1393616913663457,-0.5161785184127136,-0.1952673931435425,0.780891682551091,1.2432150220360352,-0.8410323144696006,-0.21348281562425503,0.9744606977930511,2.256481030729482,1.7306049950940967,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,1.3361800440771372,-0.102024693288198,-0.684629414740228,-0.5317790761057838,2.8420793743592987,-0.5891456701810387,-0.3258580733432627,-0.6465595161021287,-0.12843043420893244,-0.1192138666575648,-0.5701283782333966,-0.9004516057087495
41,KRR,Y,Meteorological tower,next to 6 Kent Ridge Road,METKRR,103.7707156,1.2993101,21032.846679225684,31296.7142859171,-0.23576285484617848,-0.7153346828143755,-0.1393616913663457,-0.0331998478172504,-0.1952673931435425,-0.08935654987279107,-0.37719219630480283,-0.5602930977911138,-0.21348281562425503,-0.06314043835457468,-0.7941262469189713,-0.8491272409037682,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.6188111219603285,1.2558022025512503,0.6485872000073657,-0.26098662442071263,-0.24563363868565968,-0.6212884687928444,-0.1400390397565468,-0.08523673561986446,-0.44704171363837836,-0.8470901509648474
42,MD1,Z,Meteorological tower,MD1 level 5 terrace,METMD1,103.7808411,1.2952922,22159.715666549928,30852.409760920375,-0.23576285484617848,-0.5141800718533045,-0.1393616913663457,-0.14657650375457532,-0.1952673931435425,0.9685733270150262,-0.37719219630480283,0.07538253213933198,-0.21348281562425503,0.8810192739653766,-0.7941262469189713,-0.8000396730476462,-0.6974100476999251,-0.3160805023445425,-0.5272956947066008,-0.2134221341675666,-0.48055523973516145,-0.26599236280384064,-0.5674195854512074,-0.102024693288198,1.355692663860265,3.35501247234001,0.5723082536089018,0.6472261430139992,0.7627796153806158,1.1633082955563538,0.6705286605374376,0.2453414999177778,1.1977839508917827,0.051859878777628855
